W,F,a,c,B_W
0.0,0.009189785532929559,0.8784233454094308,1.3586611243633435e-05,0.07334971229761465
0.05,0.05284802074482387,0.8784233454094308,0.00011881554037765356,0.07762828709011192
0.1,0.05456921534044326,0.8784233454094308,0.007213945030672928,0.07522481791696048
0.15000000000000002,0.03878826786625905,0.8784233454094308,0.02970043946831146,0.0714844970625604
0.2,0.013905807797318863,0.8784233454094308,0.05360787879665374,0.07056493720042097
0.25,-0.0171541632569363,0.8750720842102627,0.07965214928925199,0.07006772863772734
0.30000000000000004,-0.053222100596633244,0.7888543027499669,0.108879189770135,0.0596718808741346
0.35000000000000003,-0.09369368717201328,0.6716282687324198,0.14045041025247773,0.046942643180077195
0.4,-0.13833292474213338,0.574696479895888,0.17374825585387388,0.03781854060913046
0.45,-0.18706669812504104,0.4935085855380521,0.2100136943543162,0.031090628519757087
0.5,-0.2399466100581224,0.42395095445238457,0.2503534731465543,0.02590942393799586
0.55,-0.2970906015837528,0.36384197613470576,0.29526595753696866,0.02183434790923706
0.6000000000000001,-0.35862670000365643,0.31166920005815657,0.34481965299006656,0.018602306057058277
0.65,-0.4246564418568137,0.2663387345824394,0.3988607708673502,0.016044940446448018
0.7000000000000001,-0.4952218874394996,0.22733524682052922,0.45683166274145154,0.014088152271033313
0.75,-0.5702362400258579,0.1951240090701392,0.5168252385305013,0.012818070920818221
0.8,-0.6493264930927428,0.17224280791635843,0.5732920538745919,0.012657039505927132
0.8500000000000001,-0.7316214716598073,0.16241993384411962,0.6154498163853883,0.014365199389368678
0.9,-0.8159759884876193,0.1629918624441307,0.6348298054516543,0.018171784277752758
0.9500000000000001,-0.9022797400028741,0.10895413874410176,0.792781311389787,0.010913448073521305
